Chromosome	Start	Stop	Target	Strand	Sattelite	Locus
chr1	127009876	127010332	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127011257	127011713	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127012605	127013061	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127013986	127014442	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127015393	127015849	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127016741	127017197	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127018047	127018503	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127019428	127019884	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127020835	127021291	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127022183	127022639	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127023489	127023945	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127024836	127025292	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127026191	127026647	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127027572	127028028	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127028979	127029435	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127030301	127030757	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127031649	127032105	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127033030	127033486	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127034411	127034867	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127035818	127036274	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127037140	127037596	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127038521	127038977	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127039843	127040299	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127041165	127041621	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127042513	127042936	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127042826	127043282	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127044233	127044689	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127045614	127046070	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127047021	127047477	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127048428	127048884	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127049809	127050265	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127051216	127051672	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127052623	127053079	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127054004	127054460	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127055411	127055867	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127056792	127057248	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127058173	127058629	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127059405	127059840	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127060732	127061188	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127062113	127062569	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127063460	127063914	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127064839	127065295	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127066194	127066650	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127067539	127067995	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127068861	127069317	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127069517	127069958	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127070158	127070599	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127071491	127071947	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127072433	127072889	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127073778	127074234	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127075159	127075615	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127076514	127076970	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127077859	127078315	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127079181	127079637	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127079837	127080278	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127080478	127080919	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127081811	127082267	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127082467	127082908	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127083108	127083549	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127084441	127084897	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127085822	127086278	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127087167	127087623	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127088548	127089004	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127089896	127090352	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127091277	127091733	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127092625	127093081	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127094006	127094462	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127095387	127095843	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127096735	127097191	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127098116	127098572	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127099464	127099920	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127100845	127101301	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127102229	127102708	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127103633	127104089	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127104981	127105437	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127106362	127106818	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127107710	127108166	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127109068	127109524	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127110449	127110905	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127111856	127112312	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127113237	127113693	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127114586	127115042	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127115967	127116422	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127117315	127117771	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127118696	127119152	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127120013	127120453	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127120046	127120488	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127120127	127120560	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127121378	127121834	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127122725	127123181	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127124106	127124562	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127125453	127125909	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127126834	127127290	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127128218	127128674	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127129565	127130021	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127130946	127131402	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127132267	127132723	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127133648	127134104	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127135054	127135510	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127136461	127136917	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127137809	127138265	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127139190	127139646	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127140538	127140994	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127141860	127142316	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127143241	127143697	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127144588	127145044	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127145969	127146425	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127147598	127148038	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127147631	127148073	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127149047	127149503	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127150402	127150858	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127151749	127152205	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127153104	127153560	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127153915	127154371	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127155236	127155692	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127156695	127157128	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127158078	127158534	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127159425	127159881	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127160747	127161203	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127162206	127162662	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127163688	127164144	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127165035	127165491	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127166382	127166788	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127167388	127167844	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127168735	127169191	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127170082	127170488	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127171088	127171542	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127172493	127172949	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127173899	127174355	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127175246	127175702	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127176627	127177083	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127177948	127178404	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127179329	127179785	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127180735	127181191	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127182034	127182480	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127183405	127183861	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127184812	127185268	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127186160	127186606	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127186519	127186931	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127187531	127187987	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127188868	127189324	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127190249	127190705	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127190891	127191349	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127191585	127192041	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127192990	127193446	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127194337	127194793	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127195684	127196140	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127196583	127197004	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127197064	127197520	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127198444	127198900	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127199824	127200280	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127201204	127201660	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127204113	127204569	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127205494	127205950	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127206900	127207356	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127208306	127208762	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127209713	127210169	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127211119	127211575	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127212526	127212982	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127213933	127214389	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127215280	127215736	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127216635	127217091	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127218016	127218472	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127219397	127219853	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127220752	127221208	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127222133	127222589	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127223514	127223970	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127224895	127225351	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127226276	127226732	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127227657	127228113	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127229038	127229494	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127230419	127230875	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127231800	127232256	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127233181	127233637	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127234562	127235018	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127235943	127236399	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127237324	127237780	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127239149	127239603	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127242825	127243279	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127246527	127246981	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127248496	127248952	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127249844	127250300	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127251192	127251648	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127252543	127253000	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127253925	127254381	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127255332	127255788	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127256702	127257158	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127258083	127258539	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127259404	127259807	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127260407	127260863	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127261754	127262210	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127263135	127263591	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127264456	127264912	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127265836	127266292	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127267183	127267639	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127268564	127269020	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127269911	127270367	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127271292	127271748	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127272613	127273069	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127273993	127274449	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127275340	127275796	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127276721	127277177	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127278547	127279003	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127279895	127280351	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127281243	127281699	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127282594	127283051	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127283976	127284432	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127285383	127285839	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127286753	127287209	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127288134	127288590	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127289455	127289858	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127290458	127290914	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127291805	127292261	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127293186	127293642	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127294507	127294963	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127295887	127296343	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127297234	127297690	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127298615	127299071	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127299962	127300418	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127301343	127301799	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127302664	127303120	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
